1,"[-2.75, 1.25, -0.75, 0.15, 0.95, 1.7, 0, 0.9, -1.65, -3.45]"
2,"[-12.36, -3.64, 1.6, 5.28, 2.44, -3.6, 2.08, 0.08, 1.12, 2.72]"
3,"[0.56, -1.78, -3.06, 8.5, 0.7, -0.38, 0.34, -0.82, -2.82, -2.22]"
4,"[-1.8, -4.35, -4.05, 6.4, 4.2, -14.05, -2.85, -7.3, 8.6, -0.35]"
5,"[3.86, 1.08, 0.63, -3.99, 6.24, -3.42, -3.46, -0.14, -0.1, -1.7]"
6,"[-5.34, 0.4, -5.88, 5.44, -1.7, -5.42, -1.22, 0.28, 1.04, 7.4]"
7,"[3.08, -6.45, -2.75, 1.37, -8.05, -7.52, -1.94, -1.94, 7.83, 6.43]"
8,"[-2.02, 3.34, 1.18, -5.38, -3.28, 5.98, 4.68, -0.02, -1.08, 0.08]"
9,"[-0.75, -4.0, 2.0, 7.0, 2.0, -1.5, -0.5, 0.5, -1.5, -3.75]"
10,"[-1.04, -0.07, 1.64, 5.95, 1.31, -4.05, -1.01, -1.69, 0, 3.29]"
11,"[-3.5, 1.85, 2.3, 1.55, 0.9, -1.2, 0.8, -4.1, 0, 2.45]"
12,"[-1.0, 6.5, -1.75, 0.0, 1.25, 7.5, 1.75, 7.75, -5.0, -1.5]"
13,"[-4.62, 0.36, -0.82, 6.84, 1.8, -3.76, -0.38, -0.72, 0.96, 1.32]"
14,"[-0.6, -1.35, 2.65, -1.1, -0.1, -0.1, 0, 0, 0.8, 0.6]"
15,"[-48.64, -66.76, -28.78, 76.1, -4.16, -5.08, 13.02, -23.9, -22.0, -48.04]"
16,"[0.29, -2.16, 0.45, 0.46, 1.18, -1.27, 0.39, 0, 0, -1.44]"
17,"[-37.0, -37.5, -8.52, 55.2, 0.32, 6.96, 40.62, -4.72, -5.2, -20.08]"
18,"[-2.36, 1.16, -0.92, 2.48, 0.88, 0.48, 2.28, -0.24, 0, 0.6]"
19,"[-11.34, -24.46, -8.62, 15.14, -11.68, -17.18, 0.94, -5.6, 6.36, -4.26]"
20,"[8.61, 0.54, -3.06, -7.84, 9.91, -5.85, -0.16, -2.58, 11.02, 8.51]"
21,"[0.56, -6.99, -6.38, 16.36, 3.74, -7.87, -0.61, -4.65, -3.08, -2.46]"
22,"[-18.63, 11.42, 7.18, -12.89, 2.79, 17.36, 14.36, 10.05, 1.45, 11.64]"
23,"[-8.98, -37.05, -8.71, 38.2, -6.21, -8.43, 10.38, -7.55, 0.29, -13.69]"
24,"[1.0, -1.0, -0.8, 1.6, 0.6, 1.4, 0.4, -0.6, -1.2, -2.0]"
25,"[-2.32, -0.96, 0.28, 0.8, -0.36, 0.68, -1.24, -1.12, -0.12, 0.28]"
26,"[-7.6, -0.08, -6.42, 9.2, -5.32, 17.18, 11.38, -0.88, -2.94, -14.28]"
27,"[-3.1, 0.18, 0.18, 0.88, -0.1, -2.38, 1.36, -1.46, 0, 0.18]"
28,"[2.22, -8.43, -3.35, 0.36, -0.86, 0.76, 0.11, 0.73, 0, -7.16]"
29,"[-3.04, 5.92, 1.44, -1.58, -7.54, 0.66, -0.52, 3.18, 0, -6.3]"
30,"[-56.32, -24.4, -33.8, 111.1, 21.64, 9.0, 10.6, -22.84, 3.8, -15.28]"
31,"[-4.41, 4.43, 2.13, 1.39, -1.19, 1.95, 0.15, 0, -0.85, 0.62]"
32,"[-4.56, 5.14, 3.38, 2.46, -2.28, -0.58, -0.66, 0, -2.98, 1.1]"
33,"[-4.2, -3.48, -2.68, 4.36, 0.56, 1.28, 2.2, -1.76, 0.72, -4.88]"
34,"[-10.84, -8.46, -6.0, 9.52, -2.98, 2.6, -0.62, -5.02, 0.18, -0.54]"
35,"[2.27, 1.94, -0.78, -1.79, 3.16, -1.73, 0, -0.39, -0.89, -0.78]"
36,"[-7.8, -0.68, -0.34, 11.18, -2.74, -2.36, 1.14, -1.1, -0.86, -1.82]"
37,"[-1.84, -3.36, -2.12, 4.1, 3.04, -1.18, 0, 0, 2.64, -0.3]"
38,"[-1.46, -8.67, -2.69, 4.43, -0.01, -1.93, 3.02, 0.21, -1.45, -4.8]"
39,"[1.15, 3.04, -2.11, -0.01, 0.84, 4.88, -2.32, -2.64, -1.58, -0.48]"
40,"[1.41, -1.21, 0.85, -1.7, 0.96, 0.33, 0.92, -0.01, -0.53, 0.34]"
41,"[-0.69, 0.48, -5.88, 2.65, 1.58, 0.8, -0.07, -5.99, -0.85, 6.34]"
42,"[-0.59, -1.43, 1.73, 0.77, -1.57, -1.26, 0.94, -1.52, -1.55, -0.86]"
43,"[-7.22, -4.83, -2.9, 16.39, 9.27, -2.88, 0.04, -6.91, 2.06, -3.82]"
44,"[-0.31, 0.7, 0.68, -0.64, 0.02, 1.04, -0.99, 0, 0, 1.69]"
45,"[-5.34, -2.24, 1.26, 0.06, -2.46, 3.52, 1.38, -0.24, 0, -0.24]"
46,"[-1.15, 0.75, 0.25, 0.65, 0.1, 0.35, 0.15, 0.05, 0.15, 0.6]"
47,"[-3.4, 1.04, 1.28, 1.76, -2.2, 3.72, -0.52, 0.32, -0.68, -0.76]"
48,"[-0.52, -16.13, -15.37, 34.99, 14.86, -17.39, -0.04, -23.72, 2.3, -1.95]"
49,"[2.2, -9.4, -5.35, 9.0, 3.15, -4.2, 1.1, 1.1, 1.55, 1.8]"
50,"[-1.32, 2.33, 2.84, 0.87, 0.03, 0.6, -0.54, -0.27, 0, -2.51]"
51,"[-5.61, -1.79, 0.15, -2.64, -5.82, 2.36, 3.15, 3.15, 2.06, 2.21]"
52,"[-7.86, -0.9, -3.36, 10.54, 10.48, -7.62, -1.54, -8.54, -0.18, 5.74]"
