1,"{'31': -0.05, '1029': 0.45, '1061': 0.45, '1129': -0.55, '1172': 1.45, '1263': -0.55, '1287': -0.55, '1293': -0.55, '1339': 0.95, '1343': -0.55, '1371': -0.05, '1405': -1.55, '1953': 1.45, '2105': 1.45, '2150': 0.45, '2193': -0.55, '2294': -0.55, '2455': -0.05, '2968': -1.55, '3671': 0.45}"
2,"{'17': 1.52, '39': 1.52, '47': 0.52, '50': 0.52, '52': -0.48, '62': -0.48, '110': 0.52, '144': -0.48, '150': 1.52, '153': 0.52, '161': -0.48, '165': -0.48, '168': -0.48, '185': -0.48, '186': -0.48, '208': -0.48, '222': 1.52, '223': -2.48, '225': -0.48, '235': -0.48, '248': -0.48, '253': 0.52, '261': 0.52, '265': 1.52, '266': 1.52, '272': -0.48, '273': 0.52, '292': -0.48, '296': 0.52, '300': -0.48, '314': 0.52, '317': -1.48, '319': -2.48, '339': -0.48, '349': 0.52, '350': 0.52, '356': -0.48, '357': -0.48, '364': -0.48, '367': -0.48, '370': -1.48, '371': -0.48, '372': -0.48, '377': -0.48, '382': -0.48, '405': -1.48, '410': -0.48, '454': 0.52, '457': -0.48, '468': 0.52, '474': -1.48, '480': 0.52, '485': -0.48, '497': -0.48, '500': 0.52, '508': 0.52, '509': 0.52, '515': 0.52, '527': 0.52, '537': 0.52, '539': -0.48, '550': -0.48, '551': 1.52, '552': -0.48, '585': 1.52, '586': -0.48, '587': -0.48, '588': -0.48, '589': 1.52, '590': 1.52, '592': 1.52, '593': -0.48, '616': -0.48, '661': 0.52, '720': 0.52}"
3,"{'110': 0.42, '247': -0.08, '267': -0.58, '296': 0.92, '318': 1.42, '355': -1.08, '356': 1.42, '377': -1.08, '527': -0.58, '588': -0.58, '592': -0.58, '593': -0.58, '595': -1.58, '736': -0.08, '778': 0.42, '866': -0.58, '1197': 1.42, '1210': -0.58, '1235': 0.42, '1271': -0.58, '1378': 0.42, '1580': -0.08, '1721': 0.92, '1884': 0.42, '2028': 0.42, '2318': 0.42, '2513': -0.58, '2694': -0.58, '2702': -0.08, '2716': -0.58, '2762': -0.08, '2841': 0.42, '2858': 0.42, '2959': 1.42, '3243': -0.58, '3510': 0.42, '3949': 1.42, '5349': -0.58, '5669': -0.08, '6377': -0.58, '7153': -1.08, '7361': -0.58, '8622': -0.08, '8636': -0.58, '27369': -0.08, '44191': -0.08, '48783': 0.92, '50068': 0.92, '58559': -0.58, '84236': 0.42}"
4,"{'34': 0.65, '112': 0.65, '141': 0.65, '153': -0.35, '173': -1.35, '185': -1.35, '260': 0.65, '289': -0.35, '296': 0.65, '329': -1.35, '349': 0.65, '356': 0.65, '357': 0.65, '364': 0.65, '367': -0.35, '380': -1.35, '410': -1.35, '431': -1.35, '434': -0.35, '435': -3.35, '440': -0.35, '442': -0.35, '464': -0.35, '480': 0.65, '541': 0.65, '588': 0.65, '589': 0.65, '590': -1.35, '594': 0.65, '596': 0.65, '610': -0.35, '616': 0.65, '858': 0.65, '903': 0.65, '910': -0.35, '913': 0.65, '919': 0.65, '1011': -0.35, '1016': -0.35, '1022': 0.65, '1028': 0.65, '1030': 0.65, '1031': 0.65, '1032': 0.65, '1033': 0.65, '1036': 0.65, '1073': 0.65, '1079': 0.65, '1089': 0.65, '1097': 0.65, '1125': 0.65, '1127': 0.65, '1136': 0.65, '1194': 0.65, '1196': 0.65, '1197': 0.65, '1198': 0.65, '1200': 0.65, '1206': 0.65, '1208': 0.65, '1210': 0.65, '1213': 0.65, '1214': 0.65, '1219': 0.65, '1220': 0.65, '1222': 0.65, '1225': 0.65, '1230': 0.65, '1240': 0.65, '1243': 0.65, '1257': 0.65, '1258': 0.65, '1259': -0.35, '1265': 0.65, '1270': 0.65, '1278': 0.65, '1282': 0.65, '1285': -0.35, '1288': 0.65, '1291': 0.65, '1298': -0.35, '1307': -0.35, '1332': -0.35, '1334': 0.65, '1344': 0.65, '1356': -0.35, '1371': -0.35, '1372': -1.35, '1374': -0.35, '1376': -1.35, '1377': -1.35, '1380': 0.65, '1387': 0.65, '1388': -0.35, '1396': 0.65, '1544': -1.35, '1580': 0.65, '1663': -0.35, '1674': 0.65, '1805': -3.35, '1858': 0.65, '1917': -0.35, '1918': -2.35, '1953': 0.65, '1954': 0.65, '1961': 0.65, '1967': -1.35, '1968': 0.65, '1994': 0.65, '2000': 0.65, '2002': -1.35, '2003': -2.35, '2005': 0.65, '2014': -0.35, '2018': 0.65, '2020': -0.35, '2021': -0.35, '2033': -0.35, '2034': -0.35, '2046': 0.65, '2054': -1.35, '2064': 0.65, '2078': 0.65, '2080': 0.65, '2081': -0.35, '2085': 0.65, '2086': 0.65, '2087': 0.65, '2091': 0.65, '2094': -0.35, '2096': 0.65, '2100': 0.65, '2102': 0.65, '2105': -0.35, '2109': 0.65, '2110': -1.35, '2114': 0.65, '2115': 0.65, '2124': -0.35, '2140': 0.65, '2141': -0.35, '2143': -0.35, '2144': 0.65, '2161': 0.65, '2174': 0.65, '2193': -1.35, '2194': 0.65, '2248': -0.35, '2263': -1.35, '2268': 0.65, '2289': 0.65, '2348': -0.35, '2371': -0.35, '2403': -0.35, '2406': 0.65, '2409': -0.35, '2454': 0.65, '2467': 0.65, '2551': -0.35, '2616': -3.35, '2628': 0.65, '2640': 0.65, '2659': -1.35, '2683': -0.35, '2699': -0.35, '2716': 0.65, '2723': 0.65, '2734': -0.35, '2770': -3.35, '2788': 0.65, '2791': 0.65, '2795': -0.35, '2797': 0.65, '2804': 0.65, '2822': -1.35, '2867': -1.35, '2872': 0.65, '2877': 0.65, '2902': -2.35, '2903': -3.35, '2916': -0.35, '2918': 0.65, '2968': 0.65, '2986': -1.35, '2987': 0.65, '2991': 0.65, '3016': -1.35, '3034': 0.65, '3039': -0.35, '3040': 0.65, '3060': 0.65, '3071': -0.35, '3101': -0.35, '3104': -0.35, '3108': 0.65, '3169': -0.35, '3208': -2.35, '3210': -0.35, '3251': 0.65, '3255': -0.35, '3263': -1.35, '3265': 0.65, '4006': -2.35}"
5,"{'39': 0.09, '104': 0.09, '141': 0.09, '150': 0.09, '231': -0.41, '277': 0.59, '344': -0.41, '356': 0.09, '364': 0.09, '367': 0.09, '377': 0.09, '440': 0.09, '500': 0.59, '586': 0.09, '588': -0.41, '595': 0.09, '597': 1.09, '788': -0.41, '858': -1.41, '903': -0.41, '919': 0.09, '1022': 0.09, '1035': 1.09, '1193': -0.91, '1221': -1.41, '1247': 0.09, '1307': 0.09, '1380': 1.09, '1393': -0.41, '1485': 0.59, '1544': -0.41, '1682': 0.09, '1721': 0.09, '1777': 0.09, '1784': 0.59, '1923': 0.59, '1961': 0.09, '1968': 0.09, '1997': -0.41, '2023': -2.41, '2081': 1.09, '2273': 0.09, '2294': 0.09, '2355': -0.41, '2424': 0.09, '2502': -0.41, '2683': 0.09, '2694': 0.59, '2706': 0.09, '2762': -0.41, '2770': -0.41, '2918': -0.41, '2997': -0.41, '3114': -0.41, '3176': -0.41, '3408': 0.09, '3753': -0.41, '3897': 0.59, '3948': -0.41, '4014': 0.09, '4018': 0.09, '4022': -0.41, '4025': 0.59, '4306': -0.41, '4308': -0.41, '4447': 0.59, '4718': -0.41, '4963': -0.91, '4995': 0.59, '5266': -0.41, '5299': 0.59, '5349': 0.59, '5464': 0.09, '5669': -0.41, '5679': 0.59, '5816': -0.91, '5995': 0.09, '6218': -0.41, '6373': 0.09, '6377': 0.09, '6502': 0.09, '6711': -1.41, '6942': 0.09, '8376': 0.09, '8464': 0.09, '8622': -0.41, '8636': 0.59, '8644': 0.09, '30707': 0.59, '30749': 0.59, '30793': -0.41, '33166': 1.09, '33679': 0.09, '34162': 0.59, '35836': 0.09, '40819': 0.59, '41566': 0.09, '41569': 0.09, '48385': 0.59}"
6,"{'158': -1.24, '173': -1.24, '293': 1.76, '596': 0.76, '903': 0.76, '1204': 1.76, '1250': 1.26, '1259': 1.26, '1276': 1.26, '1285': 1.26, '1358': -1.24, '1639': -1.24, '1687': -1.24, '1747': -1.24, '1876': -2.74, '1909': -0.24, '2001': -0.24, '2019': 0.76, '2072': 0.76, '2174': 0.76, '2502': 0.26, '2528': -0.24, '2529': 0.76, '2571': -2.24, '2657': -1.24, '2692': 0.76, '2723': -0.24, '2761': 1.26, '2890': -0.24, '3052': -2.24, '3114': 0.76, '3300': 0.26, '3751': -1.74, '4641': -1.74, '4975': -1.74, '5952': 1.76, '7090': -0.24, '7153': 1.76, '7361': 0.76, '8368': 0.26, '8636': 0.76, '8784': -0.24, '8874': 1.26}"
7,"{'10': -0.47, '21': -0.47, '31': -0.47, '34': 0.53, '40': 0.53, '104': -0.47, '110': 1.53, '112': 0.53, '141': 0.53, '151': 0.53, '198': -1.47, '207': -0.47, '260': 1.53, '272': -0.47, '316': -1.47, '318': 1.53, '329': -0.47, '333': -0.47, '345': -0.47, '355': -0.47, '356': -0.47, '357': -0.47, '364': -0.47, '367': -0.47, '377': -0.47, '380': 0.53, '480': 0.53, '500': -0.47, '534': 0.53, '539': -0.47, '541': 0.53, '551': 0.53, '588': 0.53, '589': -0.47, '590': 0.53, '592': -0.47, '594': 0.53, '595': -0.47, '610': -0.47, '671': 0.53, '708': -0.47, '720': 1.53, '724': -1.47, '736': -2.47, '737': -2.47, '745': 1.53, '780': -0.47, '786': -1.47, '924': 0.53, '1036': -0.47, '1073': -0.47, '1079': 0.53, '1080': 0.53, '1097': -0.47, '1125': -0.47, '1129': -0.47, '1136': 0.53, '1148': 1.53, '1196': 1.53, '1197': -0.47, '1198': 1.53, '1210': 1.53, '1220': 0.53, '1223': 1.53, '1225': 1.53, '1231': 0.53, '1240': 0.53, '1242': 1.53, '1270': -0.47, '1275': 0.53, '1278': -0.47, '1287': 0.53, '1288': 0.53, '1291': -0.47, '1298': -0.47, '1302': 0.53, '1307': -0.47, '1353': -0.47, '1371': -0.47, '1372': -0.47, '1373': -1.47, '1374': 0.53, '1375': -0.47, '1376': -0.47, '1394': -0.47, '1405': 1.53, '1408': -2.47}"
8,"{'45': -1.36, '47': 1.14, '50': 1.14, '110': 0.14, '260': -0.36, '282': -1.86, '296': 0.14, '318': 1.14, '356': 0.14, '457': 0.64, '520': -0.36, '524': -1.86, '527': 1.14, '543': 1.14, '589': 0.14, '593': 0.64, '628': 0.14, '805': -0.36, '858': 1.14, '1196': -0.36, '1197': 0.14, '1198': 0.14, '1210': 0.14, '1219': 0.14, '1225': 0.14, '1258': 0.14, '1259': 0.14, '1265': -0.86, '1270': 0.14, '1291': 0.14, '1302': -0.36, '1358': -3.36, '1387': 0.14, '1393': -0.86, '1500': 0.14, '1552': -0.86, '1617': -0.36, '1625': 1.14, '1674': 0.14, '1704': 0.14, '1754': -0.86, '1777': 1.14, '1876': -0.36, '1961': 1.14, '2028': 0.14, '2100': -0.86, '2139': -0.86, '2194': 0.64, '2302': 0.64, '2324': 0.14, '2329': 1.14, '2353': -0.36, '2423': -0.36, '2502': 1.14, '2571': 1.14, '2716': -0.36, '2762': 0.64, '2770': -1.36, '2791': 0.64, '2797': -0.36, '2804': -0.36, '2841': -0.86, '2858': 0.64, '2918': 1.14, '2959': 0.14, '3147': 0.64, '3578': 1.14, '3916': -0.36, '3948': 0.14, '3996': 0.14, '4011': 0.64, '4019': -0.36, '4034': 0.64, '4226': 1.14, '4262': 0.14, '4448': -1.36, '4886': -0.36, '4896': -0.36, '4963': 0.64, '4973': 0.14, '4993': -0.36, '4995': -0.36, '5064': 1.14, '5378': -0.36, '5445': 0.64, '5464': 0.14, '5630': 0.14, '5650': 0.14, '5669': -0.86, '5952': 0.14, '5989': -0.36, '6377': 0.14, '6378': -0.86, '6870': 0.14, '6874': 1.14, '6879': -0.86, '7143': -0.36, '7153': 0.14, '7361': 0.14, '7438': 0.14, '8533': -1.36, '8784': 0.64, '8873': 0.14, '8874': -0.86, '32587': -0.36, '33166': 0.64, '33493': 0.64, '33794': 0.64, '34162': -0.36, '40583': -0.36, '40819': -0.36, '42007': -1.86, '43556': -0.36, '43871': -0.86, '44004': -0.86}"
9,"{'17': 0.25, '26': -0.75, '36': 1.25, '47': -0.75, '318': 0.25, '497': 0.25, '515': 0.25, '527': 1.25, '534': 1.25, '593': 0.25, '608': 1.25, '733': -1.75, '1059': 1.25, '1177': -0.75, '1357': 0.25, '1358': 0.25, '1411': -0.75, '1541': -1.75, '1584': 0.25, '1680': 0.25, '1682': 1.25, '1704': 0.25, '1721': -0.75, '1784': 1.25, '2028': 0.25, '2125': 0.25, '2140': 0.25, '2249': 0.25, '2268': -0.75, '2273': -0.75, '2278': 0.25, '2291': 0.25, '2294': -1.75, '2302': 0.25, '2391': 0.25, '2396': 0.25, '2427': -1.75, '2490': -0.75, '2501': 0.25, '2539': -1.75, '2571': 1.25, '2628': -0.75, '2762': 0.25, '2857': 0.25}"
10,"{'152': 0.33, '318': 0.33, '344': -0.67, '345': 0.33, '592': -0.67, '735': 0.33, '1036': -0.67, '1089': -0.67, '1101': -1.67, '1127': 0.33, '1196': 0.33, '1197': 0.33, '1198': 0.33, '1200': 0.33, '1210': 0.33, '1220': -0.67, '1240': 0.33, '1291': 0.33, '1358': 1.33, '1423': 0.33, '1459': -0.67, '1499': -0.67, '1611': 1.33, '1690': -0.67, '1704': 0.33, '1719': 1.33, '1887': -1.67, '1923': 1.33, '2108': -0.67, '2344': 1.33, '2406': 0.33, '2410': -1.67, '2539': 0.33, '2571': 1.33, '2826': 1.33, '2827': -0.67, '2840': -0.67, '2841': 0.33, '2881': -0.67, '2890': 0.33, '2907': -1.67, '2926': 1.33, '2995': -1.67, '3005': -0.67, '3019': 0.33}"
